Old Title,New Title
band_size,Product Band Size (bp)
temp3,Final Extension Cycle Temp. (C)
dna_amt,Template Amount (ng)
melting_temp2,Melting Cycle Temp. (C)
melting_t2(sec),Melting Cycle Time (s)
extension_temp2,Extension  Temp (C)
t5(sec),Final Extension Time (s)
annealing_t3(sec),Annealing Cycle Time (s)
t1(sec),Initial Melting Time (s)
Hpin_Tm_Max,Max Hairpin Tm (C)
cycles2,Amplification Cycles (cycles)
extension_t4(sec),Extension Cycle Time (s)
Homodimer_maxTm,Max Homodimer Tm (C)
TotPrimer,Total Primer (uM)
annealing_temp2,Annealing Cycle Temp (C)
MinGC,Min Primer GC Content (%)
MinTm_IDT,Min Primer Tm (C)
Heterodimer_tm,Heterodimer Tm (C)
GC_ClampMax,Max GC Clamp Strength (score)
GC_ClampMin,Min GC Clamp Strength (score)
Tm_dif_IDT,Primer Tm Difference (C)
MaxGC,Max Primer GC Content (%)
MaxTm_IDT,Max Primer Tm (C)
